index,Company,TypeName,Ram,Weight,Price,TouchScreen,IPS,PPI,Cpu brand,HDD,SSD,Gpu brand,OS
176,Acer,Notebook,4,0.7419373447293773,23922.72,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
177,MSI,Gaming,32,1.4816045409242156,149130.72,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
178,Lenovo,Notebook,8,0.6418538861723947,43316.64,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
179,HP,2 in 1 Convertible,8,0.25464221837358075,79866.72,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
180,Dell,Notebook,16,0.7030975114131134,55890.72,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others/No OS/Linux
181,Dell,Ultrabook,8,0.20701416938432612,74538.72,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
182,Lenovo,2 in 1 Convertible,16,0.3364722366212129,98514.72,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
183,Toshiba,Notebook,8,0.6931471805599453,42251.04,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
184,Xiaomi,Notebook,8,0.6678293725756554,63882.72,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
185,Dell,Notebook,16,1.0188473201992472,82530.72,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
186,Dell,Notebook,16,0.7227059828014898,127712.16,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
187,Lenovo,Gaming,8,0.8754687373538999,41505.12,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
188,Acer,Ultrabook,8,0.11332868530700327,52693.92,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
189,Dell,Notebook,8,1.0296194171811581,57808.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
191,Vero,Notebook,4,0.26236426446749106,13852.8,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
192,Xiaomi,Ultrabook,8,0.26236426446749106,53274.672,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
193,Lenovo,Notebook,8,1.0296194171811581,37189.44,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others/No OS/Linux
194,Dell,2 in 1 Convertible,8,0.4824261492442928,44701.92,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
195,HP,Notebook,8,0.9162907318741551,48697.92,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
196,Razer,Gaming,32,1.2499017362143359,324954.72,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,Windows
197,HP,Notebook,8,0.3987761199573678,51095.52,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
198,HP,Gaming,16,1.208960345836975,73473.12,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
199,HP,Notebook,8,0.9162907318741551,55677.6,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
200,Dell,Gaming,16,0.9745596399981308,98301.6,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
201,Lenovo,Notebook,4,0.7419373447293773,26267.04,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
202,Acer,Notebook,8,0.8020015854720274,39533.76,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
203,Lenovo,Gaming,16,1.1631508098056809,93186.72,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
204,Dell,Workstation,16,1.0296194171811581,162770.4,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
